date,open,high,low,close,volume,Name
07-02-2018,73.81,74.99,73.26,73.38,2441658,TSN
07-02-2018,85.08,86.7,84.88,85.37,1505266,TSS
07-02-2018,95.17,96.47,94.96,95.11,5192796,TWX
07-02-2018,104.6,105.68,101.91,101.98,10009109,TXN
07-02-2018,57.01,58.83,56.95,57.91,1857372,TXT
07-02-2018,36.81,37.45,36.74,36.93,35634519,T
07-02-2018,13.17,13.68,13.12,13.26,6209576,UAA
07-02-2018,63.84,66.5783,63.75,65.36,5694871,UAL
07-02-2018,12.08,12.53,12.05,12.15,3775156,UA
07-02-2018,33.96,34.85,33.8,33.8,2530321,UDR
07-02-2018,116.34,118.71,115.7505,117.12,497671,UHS
07-02-2018,217.99,221.67,216.91,218.06,753520,ULTA
07-02-2018,222.33,229.29,221.51,225.82,5589154,UNH
07-02-2018,50.37,51.23,50.21,50.58,2824687,UNM
07-02-2018,130.34,131.8199,128.94,128.96,5052960,UNP
07-02-2018,112.39,113.26,111.62,111.91,7219687,UPS
07-02-2018,170.49,176.06,170.31,173.58,1839695,URI
07-02-2018,54.5,55.68,54.4,54.8,11005284,USB
07-02-2018,129.39,133.34,129.06,131.97,7906405,UTX
07-02-2018,118.24,118.9,116.74,116.92,924449,VAR
07-02-2018,79.46,81.48,79.045,80.47,3589223,VFC
07-02-2018,31.37,31.72,30.5,30.51,6895104,VIAB
07-02-2018,90.43,92.55,89.84,89.84,4344520,VLO
07-02-2018,125.92,131.2695,125.63,128.24,1552081,VMC
07-02-2018,67.56,69.16,67.28,67.3,1315552,VNO
07-02-2018,94.61,96.4,94.52,94.69,940112,VRSK
07-02-2018,109.11,110.91,108.19,109.11,994413,VRSN
07-02-2018,157.1,160.11,155.615,155.67,1812917,VRTX
07-02-2018,53.13,54.12,52.82,52.97,3266384,VTR
07-02-2018,50.63,51.93,50.5,51.01,16066607,VZ
07-02-2018,120.09,122.46,119.21,119.65,9293996,V
07-02-2018,202.2,204.985,201.87,201.98,389289,WAT
07-02-2018,71.34,73.2,71.16,71.53,4328790,WBA
07-02-2018,83.95,85.32,83.1,83.71,3737728,WDC
07-02-2018,60.2,60.99,59.82,59.86,1904680,WEC
07-02-2018,56.94,58.115,56.75,57.54,45550954,WFC
07-02-2018,173.19,176.46,171.47,171.52,862497,WHR
07-02-2018,157.66,160.14,156.97,157.38,972858,WLTW
07-02-2018,30.08,30.69,30,30,7717391,WMB
07-02-2018,100.5,104.59,100.01,102.85,11165223,WMT
07-02-2018,81.88,83.47,81.63,81.73,2842171,WM
07-02-2018,64.39,65.94,64.14,64.42,2440702,WRK
07-02-2018,19.73,20.05,19.43,19.49,4430789,WU
07-02-2018,175.56,180.1,172.95,177.32,15719925,WYNN
07-02-2018,119.43,120.78,118.41,118.72,790796,WYN
07-02-2018,34.5,35.16,34.46,34.52,4260231,WY
07-02-2018,108.44,110.24,105.71,105.91,1385702,XEC
07-02-2018,41.57,43.29,41.51,42.46,3961146,XEL
07-02-2018,68.34,69.02,66.96,66.97,1984773,XLNX
07-02-2018,37.41,42.39,37.37,42,22101716,XL
07-02-2018,78.44,79.41,76.92,76.94,21994450,XOM
07-02-2018,58.09,59.15,54.28,58.3,2284053,XRAY
07-02-2018,30.73,31.405,30.73,31.18,2983504,XRX
07-02-2018,71.27,72.86,71.12,71.79,1748941,XYL
07-02-2018,80.07,81.94,80,80.13,3561068,YUM
07-02-2018,121.65,123.52,120.74,120.78,1145267,ZBH
07-02-2018,52.23,54.315,52.22,54.02,6427280,ZION
07-02-2018,72.7,75,72.69,73.86,4534912,ZTS
